순번,업종명,업소명,도로명주소,지번주소,행정동명,전화번호
5398,일반음식점,마토스(mato's),"대전광역시 서구 원도안로224번안길 10, 1층 일부호 (도안동)",대전광역시 서구 도안동 1108 ,도안동,
5399,일반음식점,먹새통 배재점,"대전광역시 서구 도마로 21, 1층 (도마동)",대전광역시 서구 도마동 30-18 ,도마1동,
5400,일반음식점,"연어집(탄방,둔산점)","대전광역시 서구 탄방로7번길 136, 1층 일부호 (탄방동)",대전광역시 서구 탄방동 1195 ,탄방동,
5401,일반음식점,쌍둥이 치킨,"대전광역시 서구 구봉산북로 52, 1층 102호 (관저동, 관저더샵2차)",대전광역시 서구 관저동 1982 관저더샵2차 ,관저2동,
5402,일반음식점,한마음정육식당 갈마점,"대전광역시 서구 갈마로 39, 지하1층 101,102,103호 (갈마동)",대전광역시 서구 갈마동 339-3 ,갈마2동,
5403,일반음식점,리코,"대전광역시 서구 둔산북로 121, 아너스빌오피스텔 지하1층 133호 (둔산동)",대전광역시 서구 둔산동 1380-1 아너스빌오피스텔 ,둔산1동,
5404,일반음식점,옥천칼국수,"대전광역시 서구 구봉산북로21번길 52, 1층 (관저동)",대전광역시 서구 관저동 1954-1 ,관저2동,
5405,일반음식점,샵샵(##),"대전광역시 서구 계룡로509번길 31, 1층 일부호 (탄방동)",대전광역시 서구 탄방동 616 ,탄방동,
5406,일반음식점,돈까스키친,"대전광역시 서구 복수동로51번길 54, 1층 일부호 (복수동)",대전광역시 서구 복수동 643 ,복수동,
5407,일반음식점,대전한우정육식당,"대전광역시 서구 도솔로388번길 32, 1층 (괴정동)",대전광역시 서구 괴정동 423-17 ,괴정동,
5408,일반음식점,만복옹기보쌈,"대전광역시 서구 도안동로31번길 19-25, 1층 (도안동)",대전광역시 서구 도안동 1701 ,도안동,042 -543 -5000
5409,일반음식점,성지알탕 본점,"대전광역시 서구 문정로89번길 33, 그랜드캐슬 2층 201(일부)호 (탄방동)",대전광역시 서구 탄방동 722 그랜드캐슬 ,탄방동,
5410,일반음식점,칙바이칙 대전시청점,"대전광역시 서구 둔산남로 85, 크레온오피스텔 1층 101호 (둔산동)",대전광역시 서구 둔산동 1423 크레온오피스텔 ,둔산1동,
5411,일반음식점,참주막,"대전광역시 서구 대덕대로175번길 30, 1층 103호 (둔산동)",대전광역시 서구 둔산동 1115 ,둔산2동,
5412,일반음식점,본설렁탕 대전둔산점,"대전광역시 서구 둔산중로134번길 39, 1층 104호 (둔산동)",대전광역시 서구 둔산동 925 ,둔산2동,
